"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/12/2023","501,72","494,13","507,33","492,62","8,60B","1,31%"
"24/12/2023","495,21","493,55","497,16","491,29","7,16B","0,77%"
"17/12/2023","491,41","489,26","493,39","482,15","25,30B","0,17%"
"10/12/2023","490,57","484,80","492,93","475,13","73,40B","0,68%"
"03/12/2023","487,25","487,45","495,20","480,04","79,79B","-0,04%"
"26/11/2023","487,43","478,60","487,43","476,86","37,27B","1,84%"
"19/11/2023","478,60","474,27","481,55","470,80","35,83B","0,91%"
"12/11/2023","474,27","465,45","477,43","465,04","32,49B","1,89%"
"05/11/2023","465,45","466,85","475,44","464,27","30,41B","-0,30%"
"29/10/2023","466,85","459,20","472,48","453,10","43,73B","1,66%"
"22/10/2023","459,22","470,40","475,20","457,87","22,94B","-2,38%"
"15/10/2023","470,40","484,89","487,41","466,48","44,12B","-2,99%"
"08/10/2023","484,88","488,63","493,01","483,30","30,22B","-0,77%"
"01/10/2023","488,63","493,35","497,98","487,72","17,76B","-0,96%"
"24/09/2023","493,35","500,64","501,47","491,38","18,14B","-1,45%"
"17/09/2023","500,62","497,95","506,74","494,58","13,04B","0,54%"
"10/09/2023","497,95","495,26","500,40","491,79","23,11B","0,54%"
"03/09/2023","495,26","502,51","506,51","492,75","17,58B","-1,44%"
"27/08/2023","502,49","495,68","505,13","495,68","24,63B","1,38%"
"20/08/2023","495,63","495,62","501,87","493,14","18,25B","0,01%"
"13/08/2023","495,60","500,02","503,08","494,63","16,20B","-0,88%"
"06/08/2023","500,02","498,29","504,46","498,29","26,94B","0,35%"
"30/07/2023","498,29","499,60","505,52","497,14","15,44B","-0,26%"
"23/07/2023","499,60","500,62","506,34","495,61","14,77B","-0,20%"
"16/07/2023","500,62","500,84","505,51","494,49","17,12B","-0,04%"
"09/07/2023","500,82","491,86","501,14","491,86","15,63B","1,82%"
"02/07/2023","491,86","491,25","498,20","491,14","13,71B","0,12%"
"25/06/2023","491,27","489,85","494,20","488,11","8,39B","0,29%"
"18/06/2023","489,85","495,55","497,66","489,55","13,88B","-1,15%"
"11/06/2023","495,55","497,50","497,86","490,84","25,94B","-0,38%"
"04/06/2023","497,44","494,61","498,23","489,17","36,75B","0,57%"
"28/05/2023","494,61","490,24","494,99","485,69","63,18B","0,90%"
"21/05/2023","490,20","488,91","496,53","486,46","26,09B","0,26%"
"14/05/2023","488,91","485,01","490,85","480,94","21,73B","0,82%"
"07/05/2023","484,93","492,35","493,95","484,70","32,85B","-1,51%"
"30/04/2023","492,37","501,01","501,82","487,47","15,11B","-1,72%"
"23/04/2023","501,01","494,09","505,18","494,09","15,53B","1,40%"
"16/04/2023","494,09","495,63","496,63","489,31","4,67B","-0,31%"
"09/04/2023","495,62","488,25","497,49","483,44","28,74B","1,51%"
"02/04/2023","488,25","488,29","494,85","486,90","17,39B","-0,01%"
"26/03/2023","488,29","490,93","495,32","484,15","17,18B","-0,54%"
"19/03/2023","490,93","482,45","492,62","475,13","14,33B","1,76%"
"12/03/2023","482,45","487,65","492,31","471,80","54,27B","-1,07%"
"05/03/2023","487,68","488,73","494,31","484,06","21,06B","-0,21%"
"26/02/2023","488,70","492,33","497,12","487,99","21,12B","-0,74%"
"19/02/2023","492,33","496,31","497,98","485,63","23,85B","-0,80%"
"12/02/2023","496,30","495,15","499,57","492,83","31,50B","0,23%"
"05/02/2023","495,15","495,77","501,34","487,23","19,17B","-0,13%"
"29/01/2023","495,77","495,38","498,73","487,13","24,54B","0,08%"
"22/01/2023","495,38","491,05","498,79","485,68","20,73B","0,88%"
